-705957.5852439095	  inf
-683475.2582194095	3.18466e-02
-673720.5047389246	1.42723e-02
-669215.0953003472	6.68736e-03
-666412.7514566689	4.18751e-03
-664540.2187527280	2.80987e-03
-663184.2592095538	2.04045e-03
-662230.2644849499	1.43851e-03
-661509.0977408574	1.08900e-03
-660954.9637705609	8.37682e-04
-660525.8727840951	6.49199e-04
-660167.5610353502	5.42464e-04
-659869.2948454554	4.51804e-04
-659589.7287312187	4.23669e-04
-659346.0177286656	3.69489e-04
-659091.9582240346	3.85320e-04
-658874.8679140541	3.29378e-04
-658710.1498838840	2.49999e-04
-658538.4312255541	2.60689e-04
-658427.8710147436	1.67887e-04
-658330.4471421397	1.47964e-04
-658261.6237831017	1.04542e-04
-658167.7733821291	1.42573e-04
-658093.4175635838	1.12974e-04
-658040.7305711193	8.00601e-05
